epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,3345.39,2.23698,1.70462,1.10024,0.28144,0.32243,0.26891,0.09853,2.24232,1.7221,0.97439,0.000363571,0.000363571,0.000363571
47,3428.55,2.15351,1.7698,1.09706,0.27858,0.31839,0.27036,0.09927,2.24979,1.71962,0.9766,0.000349429,0.000349429,0.000349429
48,3510.24,2.20242,1.71524,1.07628,0.49316,0.20496,0.221,0.07755,2.39579,1.7665,1.00716,0.000335286,0.000335286,0.000335286
49,3587.34,2.28235,1.79398,1.08517,0.47816,0.19456,0.20266,0.06676,2.49938,1.78833,1.0263,0.000321143,0.000321143,0.000321143
50,3663.59,2.18669,1.68024,1.06858,0.22361,0.22266,0.18799,0.06051,2.58038,1.80077,1.04434,0.000307,0.000307,0.000307
51,3744.2,2.26315,1.73774,1.07859,0.22683,0.22682,0.19783,0.06185,2.57594,1.79026,1.04325,0.000292857,0.000292857,0.000292857
52,3824.63,2.16454,1.65527,1.09382,0.26001,0.27026,0.23702,0.0785,2.41868,1.74045,1.01138,0.000278714,0.000278714,0.000278714
53,3903.43,2.24358,1.67129,1.0783,0.28796,0.29289,0.2555,0.09181,2.31262,1.70461,0.98896,0.000264571,0.000264571,0.000264571
54,3984.29,2.32142,1.73741,1.11318,0.2887,0.3222,0.26443,0.10176,2.24491,1.67513,0.97604,0.000250429,0.000250429,0.000250429
55,4061.8,2.20664,1.67933,1.08229,0.30504,0.34706,0.28172,0.10799,2.20813,1.65935,0.96864,0.000236286,0.000236286,0.000236286
56,4138.89,2.30818,1.71701,1.08421,0.27285,0.34436,0.28345,0.10886,2.20443,1.64817,0.96797,0.000222143,0.000222143,0.000222143
57,4216.92,2.18745,1.66638,1.07124,0.27698,0.34579,0.27912,0.10524,2.22143,1.65434,0.97094,0.000208,0.000208,0.000208
58,4295.38,2.18506,1.65525,1.08866,0.27419,0.33958,0.27521,0.10311,2.24193,1.66203,0.97478,0.000193857,0.000193857,0.000193857
59,4372.35,2.1963,1.68644,1.07032,0.25873,0.32858,0.27037,0.09983,2.26387,1.67052,0.9797,0.000179714,0.000179714,0.000179714
60,4449.99,2.1832,1.61818,1.06831,0.78328,0.2315,0.25929,0.09317,2.31761,1.70159,0.99157,0.000165571,0.000165571,0.000165571
61,4536.69,2.05012,1.63212,1.06059,0.78813,0.23031,0.25726,0.09137,2.33005,1.7116,0.99565,0.000151429,0.000151429,0.000151429
62,4607.95,2.16303,1.73622,1.09409,0.78628,0.23178,0.25782,0.09133,2.33782,1.71256,0.9984,0.000137286,0.000137286,0.000137286
63,4680.03,2.14712,1.73443,1.10099,0.79189,0.23031,0.256,0.08889,2.35268,1.71248,1.00298,0.000123143,0.000123143,0.000123143
64,4753.23,2.14659,1.67846,1.07433,0.2749,0.2327,0.25331,0.08774,2.35013,1.69919,1.00434,0.000109,0.000109,0.000109
65,4824.04,2.10361,1.66873,1.10469,0.26558,0.31296,0.25581,0.08967,2.32709,1.69084,0.99995,9.48571e-05,9.48571e-05,9.48571e-05
66,4884.68,2.10923,1.64333,1.05585,0.25829,0.31328,0.25575,0.09177,2.30312,1.68492,0.99547,8.07143e-05,8.07143e-05,8.07143e-05
67,4946.37,2.09259,1.71043,1.0526,0.26417,0.31058,0.25769,0.0932,2.28296,1.68055,0.99144,6.65714e-05,6.65714e-05,6.65714e-05
68,5019.23,2.08787,1.64629,1.07398,0.28482,0.32028,0.26348,0.09709,2.24855,1.67526,0.98355,5.24286e-05,5.24286e-05,5.24286e-05
69,5081.82,2.11637,1.62462,1.06304,0.28625,0.32028,0.26431,0.09744,2.24373,1.67553,0.98256,3.82857e-05,3.82857e-05,3.82857e-05
70,5143.93,2.07568,1.61431,1.05121,0.2835,0.31909,0.26223,0.09688,2.24407,1.67673,0.9827,2.41429e-05,2.41429e-05,2.41429e-05
