epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8842,2.89184,4.06197,1.36467,0.00051,0.00477,0.00047,9e-05,3.00247,4.03422,1.06832,0.09604,4e-05,4e-05
2,133.827,2.68565,3.46716,1.28405,0.00821,0.08234,0.02698,0.00802,3.12168,4.11711,1.07787,0.0910887,8.87271e-05,8.87271e-05
3,191.057,2.59663,2.95608,1.23287,0.00678,0.07279,0.01896,0.0056,3.30182,4.09199,1.0676,0.086136,0.00013604,0.00013604
4,251.235,2.55474,2.69445,1.17247,0.007,0.07518,0.0237,0.00643,3.32681,3.93941,1.09278,0.0811819,0.000181939,0.000181939
5,308.205,2.51584,2.48315,1.12124,0.04147,0.32226,0.11353,0.03638,3.03039,3.77886,1.06533,0.0762264,0.000226423,0.000226423
6,361.919,2.47002,2.28254,1.17105,0.11689,0.32305,0.15531,0.05339,2.82923,3.70294,1.02776,0.0712695,0.000269493,0.000269493
7,415.257,2.52438,2.14588,1.16467,0.1673,0.33379,0.18958,0.06744,2.65115,3.59279,1.01106,0.0663111,0.000311149,0.000311149
8,467.216,2.42539,2.13468,1.18097,0.14677,0.36378,0.20057,0.06889,2.59136,3.45513,1.01549,0.0613514,0.00035139,0.00035139
9,520.75,2.47028,2.11971,1.17058,0.10459,0.48826,0.21127,0.06712,2.59331,3.14278,1.03296,0.0563902,0.000390217,0.000390217
10,572.711,2.43219,2.06981,1.14208,0.07423,0.52816,0.20775,0.06607,2.51877,2.94607,1.03117,0.0514276,0.00042763,0.00042763
11,625.813,2.47221,2.03194,1.14592,0.06437,0.51727,0.18687,0.06225,2.56705,2.79564,1.04768,0.0464636,0.000463629,0.000463629
12,688.179,2.44416,1.96288,1.14893,0.06333,0.54606,0.21018,0.06869,2.53502,2.64612,1.04056,0.0414982,0.000498213,0.000498213
13,742.557,2.36143,1.94449,1.15473,0.05973,0.55577,0.21129,0.0687,2.52552,2.56184,1.03604,0.0365314,0.000531383,0.000531383
14,801.256,2.3731,1.94152,1.11461,0.17703,0.43107,0.22737,0.07532,2.38486,2.42715,0.99514,0.0315631,0.000563139,0.000563139
15,859.073,2.36969,1.94996,1.08239,0.24925,0.15632,0.2056,0.06389,2.4283,2.33929,0.98651,0.0265935,0.00059348,0.00059348
16,921.728,2.41374,1.9357,1.10207,0.26806,0.18149,0.20665,0.06363,2.40432,2.26526,0.97878,0.0216224,0.000622407,0.000622407
17,987.297,2.2708,1.88094,1.12094,0.28704,0.22352,0.22349,0.07318,2.34748,2.10666,0.97956,0.0166499,0.00064992,0.00064992
18,1045.06,2.45837,1.91796,1.17799,0.28881,0.23898,0.24249,0.07926,2.35099,2.04153,0.98847,0.011676,0.000676019,0.000676019
19,1099.65,2.43338,1.932,1.15833,0.26307,0.24906,0.24354,0.08129,2.35809,2.01398,0.98769,0.0067007,0.000700703,0.000700703
20,1160.46,2.38358,1.92588,1.13522,0.28891,0.27006,0.2383,0.07818,2.33056,2.03047,0.98531,0.00172397,0.000723973,0.000723973
21,1219.01,2.33672,1.87106,1.11099,0.28911,0.27133,0.2434,0.08123,2.32426,1.9951,0.98638,0.000717143,0.000717143,0.000717143
22,1288.99,2.32718,1.92357,1.1332,0.31122,0.27141,0.25389,0.08857,2.29945,1.96615,0.98715,0.000703,0.000703,0.000703
23,1363.1,2.38814,1.92104,1.11917,0.29725,0.27385,0.25614,0.0881,2.31536,1.92712,0.98991,0.000688857,0.000688857,0.000688857
24,1442.78,2.31113,1.8505,1.1412,0.24824,0.27162,0.20173,0.06915,2.43551,1.91746,1.01672,0.000674714,0.000674714,0.000674714
25,1516.1,2.33068,1.88355,1.1266,0.23509,0.27297,0.18747,0.06503,2.44921,1.91273,1.02235,0.000660571,0.000660571,0.000660571
26,1582.25,2.33701,1.74868,1.11843,0.24951,0.28485,0.2128,0.07361,2.39328,1.86753,1.01145,0.000646429,0.000646429,0.000646429
27,1640.53,2.2267,1.78962,1.09277,0.27045,0.31473,0.24746,0.08707,2.30718,1.82421,0.98444,0.000632286,0.000632286,0.000632286
28,1703.42,2.30234,1.795,1.09732,0.25353,0.31924,0.26312,0.08894,2.2931,1.80372,0.97834,0.000618143,0.000618143,0.000618143
29,1764.46,2.31736,1.788,1.10379,0.26813,0.30946,0.26245,0.08774,2.28364,1.79365,0.97564,0.000604,0.000604,0.000604
30,1843.04,2.3377,1.84538,1.1281,0.26145,0.30689,0.26745,0.08945,2.25794,1.79146,0.97341,0.000589857,0.000589857,0.000589857
31,1926.2,2.33817,1.80394,1.1008,0.25273,0.29605,0.26068,0.09161,2.23727,1.79633,0.96978,0.000575714,0.000575714,0.000575714
32,2006.44,2.3165,1.80447,1.10216,0.20824,0.27422,0.24292,0.09046,2.27371,1.80459,0.97721,0.000561571,0.000561571,0.000561571
33,2091.86,2.28497,1.79249,1.1297,0.20983,0.26616,0.24122,0.08846,2.27663,1.81399,0.97902,0.000547429,0.000547429,0.000547429
34,2180.5,2.26844,1.82247,1.09795,0.21436,0.27094,0.24582,0.08988,2.25882,1.81814,0.97909,0.000533286,0.000533286,0.000533286
35,2276.13,2.27479,1.78565,1.08326,0.21356,0.27457,0.24987,0.09267,2.25745,1.81555,0.97583,0.000519143,0.000519143,0.000519143
36,2365.29,2.28828,1.81056,1.09831,0.26263,0.31551,0.26609,0.09446,2.24514,1.77008,0.96823,0.000505,0.000505,0.000505
37,2454.91,2.34979,1.7952,1.10414,0.24741,0.33232,0.2664,0.09682,2.21484,1.75575,0.96327,0.000490857,0.000490857,0.000490857
38,2538.77,2.23319,1.73007,1.07015,0.23616,0.34067,0.27265,0.09802,2.20279,1.75382,0.95945,0.000476714,0.000476714,0.000476714
39,2620.22,2.24904,1.78288,1.09032,0.28603,0.29242,0.27369,0.09749,2.21142,1.74699,0.96067,0.000462571,0.000462571,0.000462571
40,2707.56,2.31248,1.67118,1.06005,0.31002,0.28406,0.27839,0.09909,2.2087,1.76337,0.9627,0.000448429,0.000448429,0.000448429
41,2787.29,2.28113,1.7261,1.10796,0.26587,0.3153,0.27344,0.09889,2.20991,1.76859,0.96517,0.000434286,0.000434286,0.000434286
42,2874.53,2.27615,1.75466,1.10977,0.26582,0.30928,0.27001,0.09821,2.22083,1.76923,0.96653,0.000420143,0.000420143,0.000420143
43,3022.23,2.19857,1.66883,1.08872,0.24223,0.31047,0.27291,0.09836,2.23072,1.75605,0.9687,0.000406,0.000406,0.000406
44,3137.54,2.3065,1.75654,1.1147,0.2694,0.30949,0.2738,0.10119,2.23539,1.72575,0.9742,0.000391857,0.000391857,0.000391857
45,3261.31,2.28029,1.62064,1.06727,0.29041,0.32457,0.27662,0.10114,2.24014,1.72068,0.97441,0.000377714,0.000377714,0.000377714
